title,playcount,date,devices,traffic,content
Tokyo 2020: Today At The Paralympics,160,2021-08-25,Smart TV,Direct traffic,IH000403374
Tokyo 2020: Equestrian,157,2021-08-26,Smartphone,Direct traffic,PI000017072
Tokyo 2020: Cycling - Road,154,2021-08-30,Desktop,Search engines,PI000017098
Tokyo 2020: Paralympics Live,153,2021-08-25,Tablet,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,152,2021-08-28,Tablet,Direct traffic,IH000403363
Tokyo 2020: Today At The Paralympics,152,2021-08-29,Tablet,Direct traffic,IH000403378
Tokyo 2020: Cycling - Road,151,2021-09-03,Desktop,Direct traffic,PI000017122
Tokyo 2020: Today At The Paralympics,150,2021-08-25,Smartphone,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,149,2021-08-24,Smart TV,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,148,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Cycling - Road,147,2021-09-01,Smartphone,Direct traffic,PI000017110
Tokyo 2020: Today At The Paralympics,146,2021-09-04,Tablet,Direct traffic,IH000403384
Tokyo 2020: Athletics,145,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Triathlon,145,2021-08-27,Smartphone,Direct traffic,PI000017080
Tokyo 2020: Today At The Paralympics,143,2021-09-03,Smartphone,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,141,2021-08-26,Smart TV,Direct traffic,IH000403375
Tokyo 2020: Today At The Paralympics,141,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,140,2021-08-28,Smartphone,Direct traffic,IH000403377
Tokyo 2020: Paralympics Live,138,2021-09-03,Desktop,Search engines,IH000403369
Tokyo 2020,135,2021-08-31,Smartphone,Direct traffic,PI000017158
Tokyo 2020: Paralympics Live,135,2021-09-04,Smart TV,Direct traffic,IH000403370
Tokyo 2020: Paralympics Live,131,2021-08-28,Desktop,Search engines,IH000403363
Tokyo 2020: Paralympics Live,131,2021-08-30,Tablet,Direct traffic,IH000403365
Tokyo 2020: Athletics,131,2021-08-27,Desktop,Search engines,PI000017074
Tokyo 2020: Athletics,131,2021-08-29,Smartphone,Direct traffic,PI000017088
Tokyo 2020: Swimming,130,2021-09-01,Desktop,Direct traffic,PI000017114
Tokyo 2020: Paralympics Live,129,2021-09-04,Desktop,Direct traffic,IH000403370
Tokyo 2020: Goalball,127,2021-08-24,Smartphone,Direct traffic,PI000017061
Tokyo 2020: Cycling - Road,127,2021-09-02,Desktop,Direct traffic,PI000017116
Tokyo 2020: Swimming,124,2021-08-26,Smartphone,Direct traffic,PI000017078
Tokyo 2020: Cycling - Road,122,2021-09-01,Desktop,Direct traffic,PI000017110
Tokyo 2020: Triathlon,121,2021-08-27,Desktop,Direct traffic,PI000017080
Tokyo 2020: Paralympics Live,120,2021-09-02,Desktop,Search engines,IH000403368
Tokyo 2020: Cycling,120,2021-08-28,Smartphone,Direct traffic,PI000017083
Tokyo 2020: Athletics,120,2021-08-30,Desktop,Direct traffic,PI000017157
Tokyo 2020: Today At The Paralympics,117,2021-08-31,Smartphone,Direct traffic,IH000403380
Tokyo 2020: Athletics,116,2021-08-28,Smartphone,Direct traffic,PI000017155
Tokyo 2020: Today At The Paralympics,115,2021-08-26,Desktop,Direct traffic,IH000403375
Tokyo 2020: Paralympics Live,114,2021-09-05,Desktop,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,114,2021-08-31,Smartphone,Direct traffic,IH000403380
Tokyo 2020: Table Tennis,114,2021-08-30,Desktop,Direct traffic,PI000017099
Tokyo 2020: Paralympics Live,112,2021-08-24,Tablet,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live,112,2021-08-28,Smart TV,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,112,2021-08-29,Smartphone,Search engines,IH000403364
Tokyo 2020: Today At The Paralympics,112,2021-08-30,Smartphone,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,110,2021-08-27,Smart TV,Direct traffic,IH000403376
Tokyo 2020: Equestrian,110,2021-08-27,Smartphone,Direct traffic,PI000017080
Tokyo 2020: Paralympics Live,109,2021-08-26,Smartphone,Search engines,IH000403361
Tokyo 2020: Paralympics Live,107,2021-09-01,Smart TV,Direct traffic,IH000403367
Tokyo 2020: Athletics,106,2021-08-30,Desktop,Direct traffic,PI000017095
Tokyo 2020: Paralympics Live,105,2021-08-30,Smart TV,Direct traffic,IH000403365
Tokyo 2020: Today At The Paralympics,105,2021-08-27,Smartphone,Direct traffic,IH000403376
Tokyo 2020: Swimming,105,2021-08-27,Smartphone,Direct traffic,PI000017078
Tokyo 2020: Paralympics Live,104,2021-09-01,Tablet,Direct traffic,IH000403367
Tokyo 2020: Table Tennis,104,2021-08-24,Tablet,Direct traffic,PI000017062
Tokyo 2020: Today At The Paralympics,102,2021-08-28,Smart TV,Direct traffic,IH000403377
Tokyo 2020: Athletics,102,2021-08-30,Smartphone,Direct traffic,PI000017095
Tokyo 2020,101,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020: Paralympics Live,101,2021-08-24,Smartphone,Direct traffic,IH000403359
Tokyo 2020: Today At The Paralympics,101,2021-08-30,Desktop,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,100,2021-08-25,Desktop,Direct traffic,IH000403374
Tokyo 2020: Swimming,100,2021-08-29,Desktop,Direct traffic,PI000017091
Tokyo 2020: Paralympics Live,99,2021-08-26,Smartphone,Direct traffic,IH000403361
Tokyo 2020: Wheelchair Tennis,99,2021-09-04,Desktop,Direct traffic,PI000017130
Tokyo 2020: Nicole Turner comes home 8th in Paralympic final,98,2021-08-25,Smartphone,Direct traffic,xKmPX6oSTg_d
Tokyo 2020: Today At The Paralympics,97,2021-08-26,Tablet,Direct traffic,IH000403375
Tokyo 2020: Swimming,97,2021-09-01,Desktop,Search engines,PI000017114
Tokyo 2020: Paralympics Live,96,2021-08-31,Smart TV,Direct traffic,IH000403366
Tokyo 2020: Canoe,96,2021-09-03,Desktop,Search engines,PI000017123
Tokyo 2020: Today At The Paralympics,95,2021-08-24,Desktop,Direct traffic,IH000403373
Tokyo 2020: Goalball,95,2021-08-27,Desktop,Direct traffic,PI000017076
Tokyo 2020: Cycling - Track,95,2021-08-25,Tablet,Direct traffic,PI000017065
Tokyo 2020: Today At The Paralympics,93,2021-09-04,Desktop,Search engines,IH000403384
Tokyo 2020,92,2021-08-31,Smartphone,Direct traffic,PI000017107
Tokyo 2020: Today At The Paralympics,92,2021-08-24,Tablet,Direct traffic,IH000403373
Tokyo 2020: Athletics,92,2021-09-03,Desktop,Search engines,PI000017120
Tokyo 2020: Paralympics Live,91,2021-08-29,Smart TV,Direct traffic,IH000403364
Tokyo 2020: Swimming,91,2021-08-29,Smartphone,Direct traffic,PI000017091
Tokyo 2020: Paralympics Live,90,2021-09-03,Tablet,Direct traffic,IH000403369
Tokyo 2020: Swimming,90,2021-08-24,Desktop,Direct traffic,PI000017060
Tokyo 2020: Table Tennis,90,2021-08-26,Desktop,Direct traffic,PI000017071
Tokyo 2020: Today At The Paralympics,89,2021-09-03,Desktop,Direct traffic,IH000403383
Tokyo 2020: Wheelchair Basketball,89,2021-09-04,Desktop,Direct traffic,PI000017119
Tokyo 2020: Paralympics Live,88,2021-09-05,Desktop,Search engines,IH000403371
Tokyo 2020: Today At The Paralympics,88,2021-09-02,Desktop,Direct traffic,IH000403382
