title,playcount,date,devices,traffic,content
Tokyo 2020: Swimming,50,2021-08-27,Desktop,Direct traffic,PI000017151
Tokyo 2020: Table Tennis,50,2021-09-02,Desktop,Direct traffic,PI000017117
Tokyo 2020: Richael Timothy on her individual pursuit PB,50,2021-08-25,Smartphone,Direct traffic,yoSSDXqHVhDn
Tokyo 2020: Cycling - Road,50,2021-09-01,Smartphone,Search engines,PI000017110
Tokyo 2020: Canoe,50,2021-09-02,Desktop,Search engines,PI000017161
Tokyo 2020,49,2021-09-01,Desktop,Search engines,PI000017113
Tokyo 2020,49,2021-09-02,Desktop,Direct traffic,PI000017119
Tokyo 2020: Swimming,49,2021-08-24,Desktop,Search engines,PI000017060
Tokyo 2020: Cycling,49,2021-08-26,Desktop,Direct traffic,PI000017070
Tokyo 2020,48,2021-09-02,Desktop,Direct traffic,PI000017108
Tokyo 2020: Today At The Paralympics,48,2021-08-31,Desktop,Search engines,IH000403380
Tokyo 2020: Today At The Paralympics,48,2021-09-02,Desktop,Search engines,IH000403382
Tokyo 2020: Swimming,48,2021-09-03,Desktop,Direct traffic,PI000017120
Tokyo 2020: Table Tennis,48,2021-08-24,Desktop,Direct traffic,PI000017062
Tokyo 2020: Athletics,48,2021-09-04,Desktop,Search engines,PI000017127
Tokyo 2020: Wheelchair Basketball,48,2021-09-01,Desktop,Direct traffic,PI000017113
Tokyo 2020: Swimming Finals,48,2021-08-31,Desktop,Search engines,PI000017158
Tokyo 2020: Paralympics Live,47,2021-09-01,Smartphone,Direct traffic,IH000403367
Tokyo 2020: Today At The Paralympics,47,2021-08-30,Tablet,Direct traffic,IH000403379
Tokyo 2020: Swimming,47,2021-08-29,Smartphone,Direct traffic,PI000017095
Tokyo 2020: Equestrian,47,2021-08-26,Smartphone,Direct traffic,PI000017071
Tokyo 2020,46,2021-09-04,Desktop,Search engines,PI000017127
Tokyo 2020: Swimming,46,2021-08-27,Desktop,Search engines,PI000017078
Tokyo 2020: Goalball,46,2021-09-03,Desktop,Search engines,PI000017175
Tokyo 2020: Wheelchair Basketball,46,2021-09-03,Desktop,Direct traffic,PI000017123
Tokyo 2020: Today At The Paralympics,45,2021-08-27,Tablet,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,45,2021-08-27,Desktop,Search engines,IH000403376
Tokyo 2020: Table Tennis,45,2021-08-27,Smartphone,Direct traffic,PI000017078
Tokyo 2020: Wheelchair Basketball,45,2021-08-28,Desktop,Direct traffic,PI000017081
Tokyo 2020: Paralympics Live,44,2021-09-01,Smartphone,Search engines,IH000403367
Tokyo 2020: Today At The Paralympics,44,2021-08-28,Desktop,Search engines,IH000403377
Tokyo 2020: Today At The Paralympics,44,2021-09-03,Desktop,Search engines,IH000403383
Tokyo 2020,44,2021-09-03,Desktop,Direct traffic,PI000017122
Tokyo 2020: Closing Ceremony,44,2021-09-04,Smartphone,Direct traffic,PI000017179
Tokyo 2020: Today At The Paralympics,43,2021-09-05,Smartphone,Direct traffic,IH000403385
Tokyo 2020: Swimming,43,2021-09-03,Desktop,Search engines,PI000017120
Tokyo 2020: Table Tennis,43,2021-08-25,Smartphone,Direct traffic,PI000017068
Tokyo 2020: Table Tennis,43,2021-08-30,Smartphone,Direct traffic,PI000017099
Tokyo 2020: Wheelchair Basketball,43,2021-09-01,Desktop,Search engines,PI000017113
Tokyo 2020: Canoe,43,2021-09-03,Desktop,Direct traffic,PI000017123
Tokyo 2020: Paralympics Live,42,2021-08-25,Desktop,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,42,2021-08-26,Desktop,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,42,2021-08-26,Desktop,Search engines,IH000403361
Tokyo 2020: Paralympics Live,42,2021-08-28,Smartphone,Direct traffic,IH000403363
Tokyo 2020: Swimming,42,2021-08-25,Desktop,Direct traffic,PI000017064
Tokyo 2020: Table Tennis,42,2021-09-02,Desktop,Direct traffic,PI000017108
Tokyo 2020: Boccia,42,2021-08-30,Desktop,Direct traffic,PI000017100
Tokyo 2020: Shooting,42,2021-09-02,Desktop,Direct traffic,PI000017108
Tokyo 2020: Closing Ceremony,42,2021-09-04,Desktop,Direct traffic,PI000017179
Tokyo 2020,41,2021-09-01,Smartphone,Direct traffic,PI000017114
Tokyo 2020: Today At The Paralympics,41,2021-08-24,Desktop,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,41,2021-08-30,Desktop,Search engines,IH000403379
Tokyo 2020: Table Tennis,41,2021-08-26,Desktop,Search engines,PI000017071
Tokyo 2020: Cycling,41,2021-08-27,Tablet,Direct traffic,PI000017076
Tokyo 2020: Athletics,41,2021-09-04,Desktop,Direct traffic,PI000017127
Tokyo 2020,40,2021-08-28,Tablet,Direct traffic,PI000017087
Tokyo 2020: Swimming,40,2021-09-02,Desktop,Search engines,PI000017117
Tokyo 2020: Table Tennis,40,2021-08-26,Desktop,Search engines,PI000017078
Tokyo 2020: Table Tennis,40,2021-08-31,Desktop,Search engines,PI000017105
Tokyo 2020: Athletics,40,2021-09-03,Smartphone,Direct traffic,PI000017120
Tokyo 2020: Paralympics Live,39,2021-08-24,Tablet,Direct traffic,IH000403359
Tokyo 2020: Today At The Paralympics,39,2021-09-01,Desktop,Direct traffic,IH000403381
Tokyo 2020: Swimming,39,2021-09-02,Desktop,Direct traffic,PI000017117
Tokyo 2020: Table Tennis,39,2021-08-25,Tablet,Direct traffic,PI000017067
Tokyo 2020: Cycling - Track,39,2021-08-25,Desktop,Search engines,PI000017065
Tokyo 2020: Cycling,39,2021-08-26,Desktop,Search engines,PI000017070
Tokyo 2020: Cycling,39,2021-08-28,Tablet,Direct traffic,PI000017083
Tokyo 2020: Equestrian,39,2021-08-27,Desktop,Search engines,PI000017080
Tokyo 2020: Today At The Paralympics E3,39,2021-08-26,Desktop,Search engines,IH000403375
Tokyo 2020: Athletics,39,2021-09-04,Desktop,Search engines,PI000017179
Tokyo 2020: Paralympics Live,38,2021-08-24,Desktop,Direct traffic,IH000403359
Tokyo 2020: Swimming,38,2021-08-29,Tablet,Direct traffic,PI000017088
Tokyo 2020: Goalball,38,2021-08-24,Tablet,Direct traffic,PI000017061
Tokyo 2020: Cycling,38,2021-08-28,Desktop,Search engines,PI000017083
Tokyo 2020: Athletics,38,2021-08-28,Tablet,Direct traffic,PI000017155
Tokyo 2020: Athletics,38,2021-09-01,Smartphone,Direct traffic,PI000017110
Tokyo 2020: Wheelchair Basketball,38,2021-09-04,Smartphone,Direct traffic,PI000017119
Tokyo 2020: Wheelchair Tennis,38,2021-09-04,Tablet,Direct traffic,PI000017130
Tokyo 2020: Cycling - Road,38,2021-08-30,Smartphone,Search engines,PI000017098
Tokyo 2020: Today At The Paralympics,37,2021-08-29,Desktop,Search engines,IH000402867
Tokyo 2020: Table Tennis,37,2021-08-25,Desktop,Direct traffic,PI000017067
Tokyo 2020,36,2021-09-01,Desktop,Direct traffic,PI000017113
Tokyo 2020: Paralympics Live,36,2021-08-29,Tablet,Direct traffic,IH000403364
Tokyo 2020: Paralympics Live,36,2021-08-30,Smartphone,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,36,2021-09-03,Smartphone,Direct traffic,IH000403369
Tokyo 2020: Today At The Paralympics,36,2021-09-01,Desktop,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,36,2021-09-01,Desktop,Search engines,IH000403381
Tokyo 2020: Today At The Paralympics,36,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Swimming,36,2021-08-30,Smartphone,Direct traffic,PI000017095
Tokyo 2020: Cycling,36,2021-08-27,Smartphone,Search engines,PI000017076
Tokyo 2020: Athletics,36,2021-08-30,Smartphone,Direct traffic,PI000017098
Tokyo 2020: Athletics,36,2021-09-01,Smartphone,Direct traffic,PI000017159
Tokyo 2020: Today At The Paralympics,35,2021-09-02,Desktop,Direct traffic,IH000403382
Tokyo 2020: Today At The Paralympics,35,2021-09-03,Desktop,Direct traffic,IH000403383
Tokyo 2020: Swimming,35,2021-08-29,Desktop,Search engines,PI000017088
Tokyo 2020: Today At The Paralympics E6,35,2021-08-29,Desktop,Direct traffic,IH000403378
Tokyo 2020: Canoe Sprint,35,2021-09-03,Smartphone,Direct traffic,PI000017125
Tokyo 2020,34,2021-09-04,Tablet,Direct traffic,PI000017127
Tokyo 2020: Paralympics Live,34,2021-08-25,Tablet,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,34,2021-08-27,Undefined,-,IH000403362
Tokyo 2020: Today At The Paralympics,34,2021-09-02,Tablet,Direct traffic,IH000403382
Tokyo 2020: Table Tennis,34,2021-09-02,Desktop,Direct traffic,PI000017119
Tokyo 2020: Equestrian,34,2021-08-30,Smartphone,Direct traffic,PI000017100
Tokyo 2020: Athletics,34,2021-09-01,Desktop,Search engines,PI000017114
Tokyo 2020: Wheelchair Basketball,34,2021-09-05,Desktop,Direct traffic,PI000017136
Tokyo 2020: Wheelchair Rugby,34,2021-08-29,Smartphone,Direct traffic,PI000017088
Tokyo 2020: Cycling - Road,34,2021-09-01,Tablet,Direct traffic,PI000017110
Tokyo 2020: Today At The Paralympics E13,34,2021-09-05,Desktop,Direct traffic,IH000403385
Tokyo 2020,33,2021-08-31,Desktop,Search engines,PI000017107
Tokyo 2020: Today At The Paralympics,33,2021-09-02,Desktop,Search engines,IH000403382
Tokyo 2020: Table Tennis,33,2021-08-27,Tablet,Direct traffic,PI000017078
Tokyo 2020: Goalball,33,2021-08-27,Smartphone,Direct traffic,PI000017076
Tokyo 2020: Goalball,33,2021-09-01,Desktop,Direct traffic,PI000017114
Tokyo 2020: Athletics,33,2021-08-27,Smartphone,Search engines,PI000017074
Tokyo 2020: Wheelchair Basketball,33,2021-08-28,Smartphone,Direct traffic,PI000017081
Tokyo 2020: Boccia,33,2021-08-30,Smartphone,Direct traffic,PI000017100
Tokyo 2020: Paralympics Live,32,2021-09-04,Tablet,Direct traffic,IH000403370
Tokyo 2020: Swimming,32,2021-09-03,Smartphone,Direct traffic,PI000017120
Tokyo 2020: Róisín Ní Riain finishes 8th in S13 100m butterfly final,32,2021-08-25,Smartphone,Direct traffic,VHxwkgQpsV6y
Tokyo 2020: Judo,32,2021-08-27,Desktop,Direct traffic,PI000017074
Tokyo 2020: Wheelchair Rugby,32,2021-08-29,Desktop,Direct traffic,PI000017092
Tokyo 2020: Canoe,32,2021-09-02,Tablet,Direct traffic,PI000017161
Tokyo 2020: Today At The Paralympics,31,2021-09-01,Tablet,Direct traffic,IH000403381
Tokyo 2020: Swimming,31,2021-08-27,Tablet,Direct traffic,PI000017151
Tokyo 2020: Table Tennis,31,2021-09-01,Desktop,Search engines,PI000017111
Tokyo 2020: Athletics,31,2021-09-03,Smartphone,Direct traffic,PI000017122
Tokyo 2020: Canoe Sprint,31,2021-09-03,Desktop,Direct traffic,PI000017125
Tokyo 2020: Closing Ceremony,31,2021-09-04,Desktop,Search engines,PI000017179
Tokyo 2020: Paralympics Live,30,2021-08-29,Desktop,Direct traffic,IH000403364
Tokyo 2020: Today At The Paralympics,30,2021-08-24,Desktop,Search engines,IH000403373
Tokyo 2020: Today At The Paralympics,30,2021-08-29,Smartphone,Search engines,IH000403378
Tokyo 2020: Today At The Paralympics,30,2021-08-29,Desktop,Direct traffic,IH000402867
Tokyo 2020: Today At The Paralympics,30,2021-09-03,Desktop,Search engines,IH000403383
Tokyo 2020: Table Tennis,30,2021-09-02,Desktop,Search engines,PI000017108
Tokyo 2020: Goalball,30,2021-08-24,Desktop,Direct traffic,PI000017061
Tokyo 2020: Athletics,30,2021-09-01,Smartphone,Search engines,PI000017159
Tokyo 2020: Shooting,30,2021-09-03,Smartphone,Direct traffic,PI000017120
Tokyo 2020,29,2021-08-31,Tablet,Direct traffic,PI000017158
Tokyo 2020: Paralympics Live,29,2021-08-31,Desktop,Search engines,IH000403366
Tokyo 2020: Today At The Paralympics,29,2021-09-01,Desktop,Search engines,IH000403381
Tokyo 2020: Today At The Paralympics,29,2021-09-04,Smartphone,Search engines,IH000403384
Tokyo 2020: Today At The Paralympics,29,2021-09-05,Smart TV,Direct traffic,IH000403385
Tokyo 2020: Swimming,29,2021-08-29,Desktop,Search engines,PI000017095
Tokyo 2020: Athletics,29,2021-08-28,Tablet,Direct traffic,PI000017085
Tokyo 2020: Sitting Volleyball,29,2021-08-31,Desktop,Direct traffic,PI000017158
Tokyo 2020: Today At The Paralympics E8,29,2021-08-31,Desktop,Direct traffic,IH000403380
Tokyo 2020: Paralympics Live,28,2021-08-29,Undefined,-,IH000403364
Tokyo 2020: Paralympics Live,28,2021-09-04,Smartphone,Search engines,IH000403370
Tokyo 2020: Today At The Paralympics,28,2021-08-24,Tablet,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,28,2021-09-05,Desktop,Direct traffic,IH000403385
Tokyo 2020: Equestrian,28,2021-08-28,Desktop,Direct traffic,PI000017087
Tokyo 2020: Swimming Finals,28,2021-08-31,Smartphone,Direct traffic,PI000017158
Tokyo 2020: Paralympics Live,27,2021-08-28,Undefined,-,IH000403363
Tokyo 2020: Goalball,27,2021-08-28,Desktop,Search engines,PI000017083
Tokyo 2020: Athletics,27,2021-09-04,Desktop,Direct traffic,PI000017178
Tokyo 2020: Canoe Sprint,27,2021-09-04,Desktop,Direct traffic,PI000017125
Tokyo 2020: Paralympics Live,26,2021-08-27,Desktop,Direct traffic,IH000403362
Tokyo 2020: Paralympics Live,26,2021-08-28,Desktop,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,26,2021-08-28,Desktop,Search engines,IH000403363
Tokyo 2020: Paralympics Live,26,2021-08-30,Desktop,Search engines,IH000403365
Tokyo 2020: Swimming,26,2021-08-29,Tablet,Direct traffic,PI000017091
Tokyo 2020: Equestrian,26,2021-08-26,Tablet,Direct traffic,PI000017072
Tokyo 2020: Wheelchair Basketball,26,2021-08-31,Desktop,Direct traffic,PI000017107
Tokyo 2020: Wheelchair Basketball,26,2021-09-01,Smartphone,Direct traffic,PI000017113
Tokyo 2020: Wheelchair Basketball,26,2021-09-04,Desktop,Search engines,PI000017119
Tokyo 2020: Football 5-a-side,26,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Football 5-a-side,26,2021-08-28,Desktop,Direct traffic,PI000017085
Tokyo 2020: Today At The Paralympics E9,26,2021-09-01,Smartphone,Direct traffic,IH000403381
Tokyo 2020: Canoe,26,2021-09-03,Tablet,Direct traffic,PI000017123
Tokyo 2020: Closing Ceremony,26,2021-09-04,Tablet,Direct traffic,PI000017179
Tokyo 2020,25,2021-08-30,Smartphone,Direct traffic,PI000017102
Tokyo 2020,25,2021-08-30,Desktop,Direct traffic,PI000017102
Tokyo 2020: Table Tennis,25,2021-08-27,Desktop,Search engines,PI000017078
Tokyo 2020: Wheelchair Rugby,25,2021-08-29,Desktop,Direct traffic,PI000017088
Tokyo 2020: Canoe,25,2021-09-02,Desktop,Direct traffic,PI000017161
Tokyo 2020: Canoe Sprint,25,2021-09-04,Tablet,Direct traffic,PI000017125
Tokyo 2020,24,2021-09-04,Smartphone,Search engines,PI000017127
Tokyo 2020: Paralympics Live,24,,Smart TV,Direct traffic,-
Tokyo 2020: Paralympics Live,24,2021-09-01,Undefined,-,IH000403367
Tokyo 2020: Paralympics Live,24,2021-09-01,Desktop,Direct traffic,IH000403367
Tokyo 2020: Paralympics Live,24,2021-09-02,Smartphone,Direct traffic,IH000403368
Tokyo 2020: Today At The Paralympics,24,2021-09-04,Desktop,Search engines,IH000403384
Tokyo 2020: Swimming,24,2021-08-27,Tablet,Direct traffic,PI000017078
Tokyo 2020: Swimming,24,2021-08-27,Desktop,Search engines,PI000017151
Tokyo 2020: Table Tennis,24,2021-09-02,Desktop,Search engines,PI000017119
Tokyo 2020: Athletics,24,2021-08-30,Tablet,Direct traffic,PI000017095
Tokyo 2020: Sitting Volleyball,24,2021-09-04,Desktop,Search engines,PI000017127
Tokyo 2020: Paralympics Live,23,2021-08-25,Undefined,-,IH000403360
Tokyo 2020: Paralympics Live,23,2021-08-26,Smartphone,Referrer sites,IH000403361
Tokyo 2020: Paralympics Live,23,2021-08-29,Smartphone,Twitter,IH000403364
Tokyo 2020: Paralympics Live,23,2021-08-31,Desktop,Direct traffic,IH000403366
Tokyo 2020: Paralympics Live,23,2021-09-03,Smartphone,Search engines,IH000403369
Tokyo 2020: Paralympics Live,23,2021-09-03,Tablet,Direct traffic,IH000403369
Tokyo 2020: Paralympics Live,23,2021-09-03,Desktop,Direct traffic,IH000403369
Tokyo 2020: Today At The Paralympics,23,2021-09-02,Tablet,Direct traffic,IH000403382
Tokyo 2020: Swimming,23,2021-08-28,Desktop,Direct traffic,PI000017085
Tokyo 2020: Swimming,23,2021-09-01,Tablet,Direct traffic,PI000017114
Tokyo 2020: Table Tennis,23,2021-08-25,Desktop,Direct traffic,PI000017068
Tokyo 2020: Nicole Turner speaks to RTÉ Sport,23,2021-08-25,Smartphone,Direct traffic,7nnyfoU88Lp_
Tokyo 2020: Athletics,23,2021-09-01,Desktop,Direct traffic,PI000017159
Tokyo 2020: Athletics,23,2021-09-04,Undefined,-,PI000017179
Tokyo 2020: Wheelchair Basketball,23,2021-09-03,Smartphone,Direct traffic,PI000017123
Tokyo 2020,22,2021-09-04,Smartphone,Direct traffic,PI000017179
Tokyo 2020: Paralympics Live,22,2021-08-24,Undefined,-,IH000403359
Tokyo 2020: Paralympics Live,22,2021-09-02,Smartphone,Search engines,IH000403368
Tokyo 2020: Today At The Paralympics,22,2021-08-30,Undefined,-,IH000403379
Tokyo 2020: Today At The Paralympics,22,2021-09-05,Desktop,Direct traffic,IH000403385
Tokyo 2020: Table Tennis,22,2021-08-26,Tablet,Direct traffic,PI000017071
Tokyo 2020: Table Tennis,22,2021-08-31,Smartphone,Direct traffic,PI000017105
Tokyo 2020: Table Tennis,22,2021-09-02,Desktop,Search engines,PI000017117
Tokyo 2020: Goalball,22,2021-08-28,Desktop,Direct traffic,PI000017085
Tokyo 2020: Athletics,22,2021-09-01,Smartphone,Search engines,PI000017114
Tokyo 2020: Athletics,22,2021-09-01,Tablet,Direct traffic,PI000017110
Tokyo 2020: Athletics,22,2021-09-04,Smartphone,Direct traffic,PI000017178
Tokyo 2020: Wheelchair Basketball,22,2021-08-30,Smartphone,Direct traffic,PI000017102
Tokyo 2020: Wheelchair Basketball,22,2021-09-05,Tablet,Direct traffic,PI000017136
Tokyo 2020: Cycling - Road,22,2021-08-30,Undefined,-,PI000017098
Tokyo 2020: Paralympics Live,21,2021-08-29,Desktop,Search engines,IH000403364
Tokyo 2020: Paralympics Live,21,2021-08-30,Desktop,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,21,2021-09-04,Desktop,Search engines,IH000403370
Tokyo 2020: Today At The Paralympics,21,2021-08-26,Smartphone,Search engines,IH000403375
Tokyo 2020: Swimming,21,2021-08-25,Desktop,Search engines,PI000017064
Tokyo 2020: Equestrian,21,2021-08-26,Smartphone,Search engines,PI000017072
Tokyo 2020: Athletics,21,2021-08-29,Tablet,Direct traffic,PI000017088
Tokyo 2020: Athletics,21,2021-08-30,Smartphone,Direct traffic,PI000017157
Tokyo 2020: Wheelchair Basketball,21,2021-08-31,Desktop,Search engines,PI000017102
Tokyo 2020: Wheelchair Basketball,21,2021-09-05,Desktop,Search engines,PI000017136
Tokyo 2020: Highlights,21,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020: Paralympics Live E7,21,2021-08-30,Desktop,Direct traffic,IH000403365
Tokyo 2020: Today At The Paralympics E10,21,2021-09-02,Desktop,Direct traffic,IH000403382
Tokyo 2020: Today At The Paralympics E12,21,2021-09-04,Smartphone,Direct traffic,IH000403384
Tokyo 2020: Paralympics Live,20,2021-08-26,Undefined,-,IH000403361
Tokyo 2020: Paralympics Live,20,2021-08-27,Desktop,Search engines,IH000403362
Tokyo 2020: Paralympics Live,20,2021-09-02,Desktop,Direct traffic,IH000403368
Tokyo 2020: Today At The Paralympics,20,2021-08-26,Smartphone,Search engines,IH000403375
Tokyo 2020: Today At The Paralympics,20,2021-09-04,Smartphone,Search engines,IH000403384
Tokyo 2020: Swimming,20,2021-08-28,Desktop,Search engines,PI000017085
Tokyo 2020: Table Tennis,20,2021-09-02,Smartphone,Direct traffic,PI000017108
Tokyo 2020: Cycling,20,2021-08-28,Smartphone,Search engines,PI000017083
Tokyo 2020: Wheelchair Rugby,20,2021-08-29,Desktop,Search engines,PI000017088
Tokyo 2020: Wheelchair Rugby,20,2021-08-29,Desktop,Search engines,PI000017092
Tokyo 2020: Shooting,20,2021-09-03,Desktop,Direct traffic,PI000017120
Tokyo 2020: Paralympics Live E10,20,2021-09-02,Desktop,Direct traffic,IH000403368
Tokyo 2020: Canoe Sprint,20,2021-09-03,Tablet,Direct traffic,PI000017125
Tokyo 2020,19,2021-08-30,Desktop,Search engines,PI000017102
Tokyo 2020: Paralympics Live,19,2021-08-24,Smartphone,Search engines,IH000403359
Tokyo 2020: Paralympics Live,19,2021-08-27,Tablet,Direct traffic,IH000403362
Tokyo 2020: Paralympics Live,19,2021-08-31,Smartphone,Direct traffic,IH000403366
Tokyo 2020: Paralympics Live,19,2021-09-05,Smartphone,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,19,2021-08-26,Undefined,-,IH000403375
Tokyo 2020: Swimming,19,2021-09-02,Smartphone,Direct traffic,PI000017117
Tokyo 2020: Table Tennis,19,2021-08-24,Desktop,Search engines,PI000017062
Tokyo 2020: Table Tennis,19,2021-09-01,Smartphone,Direct traffic,PI000017111
Tokyo 2020: Goalball,19,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Cycling,19,2021-08-28,Undefined,-,PI000017083
Tokyo 2020: Athletics,19,2021-09-03,Tablet,Direct traffic,PI000017122
Tokyo 2020: Boccia,19,2021-08-30,Desktop,Search engines,PI000017100
Tokyo 2020: Today At The Paralympics E13,19,2021-09-05,Desktop,Search engines,IH000403385
Tokyo 2020,18,2021-09-01,Smartphone,Direct traffic,PI000017113
Tokyo 2020: Paralympics Live,18,2021-08-28,Tablet,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,18,2021-09-01,Desktop,Search engines,IH000403367
Tokyo 2020: Paralympics Live E1,18,2021-08-24,Desktop,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live E1,18,2021-08-24,Desktop,Search engines,IH000403359
Tokyo 2020: Today At The Paralympics,18,2021-08-24,Smartphone,Search engines,IH000403373
Tokyo 2020: Today At The Paralympics,18,2021-09-02,Smartphone,Search engines,IH000403382
Tokyo 2020: Today At The Paralympics,18,2021-09-04,Undefined,-,IH000403384
Tokyo 2020: Swimming,18,2021-08-24,Smartphone,Search engines,PI000017060
Tokyo 2020: Swimming,18,2021-08-26,Tablet,Direct traffic,PI000017078
Tokyo 2020: Swimming,18,2021-08-27,Smartphone,Search engines,PI000017151
Tokyo 2020: Table Tennis,18,2021-08-25,Tablet,Direct traffic,PI000017068
Tokyo 2020: Goalball,18,2021-08-28,Tablet,Direct traffic,PI000017083
Tokyo 2020: Equestrian,18,2021-08-27,Tablet,Direct traffic,PI000017080
Tokyo 2020: Athletics,18,2021-09-04,Desktop,Search engines,PI000017178
Tokyo 2020: Wheelchair Basketball,18,2021-08-28,Tablet,Direct traffic,PI000017081
Tokyo 2020: Today At The Paralympics E5,18,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Sitting Volleyball,18,2021-08-31,Smartphone,Direct traffic,PI000017158
Tokyo 2020: Shooting,18,2021-09-02,Smartphone,Direct traffic,PI000017108
Tokyo 2020: Badminton,18,2021-09-04,Smartphone,Direct traffic,PI000017134
Tokyo 2020,17,2021-08-31,Tablet,Direct traffic,PI000017107
Tokyo 2020,17,2021-09-02,Tablet,Direct traffic,PI000017108
Tokyo 2020: Paralympics Live,17,2021-08-31,Smartphone,Search engines,IH000403366
Tokyo 2020: Paralympics Live,17,2021-09-01,Tablet,Direct traffic,IH000403367
Tokyo 2020: Paralympics Live,17,2021-09-05,Desktop,Direct traffic,IH000403371
Tokyo 2020: Swimming,17,2021-08-28,Tablet,Direct traffic,PI000017085
Tokyo 2020: Swimming,17,2021-09-03,Tablet,Direct traffic,PI000017120
Tokyo 2020: Table Tennis,17,2021-08-25,Desktop,Search engines,PI000017067
Tokyo 2020: Table Tennis,17,2021-09-02,Smartphone,Direct traffic,PI000017117
Tokyo 2020: Today At The Paralympics E2,17,2021-08-25,Desktop,Direct traffic,IH000403374
Tokyo 2020: Cycling,17,2021-08-27,Undefined,-,PI000017076
Tokyo 2020: Athletics,17,2021-08-31,Smartphone,Direct traffic,PI000017158
Tokyo 2020: Athletics,17,2021-09-01,Tablet,Direct traffic,PI000017114
Tokyo 2020: Shooting,17,2021-09-02,Desktop,Search engines,PI000017108
Tokyo 2020: Today At The Paralympics E12,17,2021-09-04,Smartphone,Search engines,IH000403384
Tokyo 2020: Paralympics Live,16,2021-08-30,Tablet,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,16,2021-09-04,Smartphone,Search engines,IH000403370
Tokyo 2020: Paralympics Live,16,2021-09-04,Desktop,Direct traffic,IH000403370
Tokyo 2020: Today At The Paralympics,16,2021-09-04,Desktop,Direct traffic,AQ000244380
Tokyo 2020: Today At The Paralympics,16,2021-09-05,Desktop,Search engines,IH000403385
Tokyo 2020: Goalball,16,2021-08-27,Tablet,Direct traffic,PI000017076
Tokyo 2020: Triathlon,16,2021-08-27,Smartphone,Search engines,PI000017080
Tokyo 2020: Wheelchair Rugby,16,2021-08-29,Tablet,Direct traffic,PI000017088
Tokyo 2020: Highlights,16,2021-08-29,Smartphone,Direct traffic,PI000017095
Tokyo 2020: Cycling - Road,16,2021-09-02,Tablet,Direct traffic,PI000017116
Tokyo 2020: Today At The Paralympics E9,16,2021-09-01,Undefined,-,IH000403381
Tokyo 2020: Paralympics Live,15,2021-08-26,Smartphone,Search engines,IH000403361
Tokyo 2020: Paralympics Live,15,2021-08-30,Undefined,-,IH000403365
Tokyo 2020: Paralympics Live,15,2021-08-31,Tablet,Direct traffic,IH000403366
Tokyo 2020: Paralympics Live,15,2021-09-03,Desktop,Search engines,IH000403369
Tokyo 2020: Today At The Paralympics,15,2021-08-27,Undefined,-,IH000403376
Tokyo 2020: Today At The Paralympics,15,2021-08-29,Undefined,-,IH000403378
Tokyo 2020: Swimming,15,2021-08-25,Desktop,Search engines,PI000017060
Tokyo 2020: Table Tennis,15,2021-08-24,Smartphone,Search engines,PI000017062
Tokyo 2020: Equestrian,15,2021-08-28,Desktop,Search engines,PI000017087
Tokyo 2020: Athletics,15,2021-08-28,Smartphone,Search engines,PI000017085
Tokyo 2020: Athletics,15,2021-09-02,Desktop,Direct traffic,PI000017108
Tokyo 2020: Athletics,15,2021-09-02,Desktop,Search engines,PI000017108
Tokyo 2020: Sitting Volleyball,15,2021-08-31,Desktop,Search engines,PI000017158
Tokyo 2020: Sitting Volleyball,15,2021-09-04,Tablet,Direct traffic,PI000017127
Tokyo 2020: Paralympics Live E8,15,2021-08-31,Desktop,Direct traffic,IH000403366
Tokyo 2020: Shooting,15,2021-09-03,Desktop,Search engines,PI000017120
Tokyo 2020: Canoe Sprint,15,2021-09-03,Desktop,Search engines,PI000017125
Tokyo 2020,14,2021-08-31,Smartphone,Search engines,PI000017107
Tokyo 2020,14,2021-09-01,Desktop,Search engines,PI000017113
Tokyo 2020: Paralympics Live,14,2021-08-25,Smartphone,Search engines,IH000403360
Tokyo 2020: Paralympics Live,14,2021-09-01,Undefined,-,IH000403367
Tokyo 2020: Paralympics Live,14,2021-09-03,Undefined,-,IH000403369
Tokyo 2020: Today At The Paralympics,14,2021-08-29,Undefined,-,IH000403378
