title,playcount,cuml hours spent,date,devices,traffic,content
Tokyo 2020: Paralympics Live,281,130.9477778,2021-08-28,Desktop,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,279,48.06083333,2021-08-31,Desktop,Search engines,IH000403366
Tokyo 2020: Paralympics Live,279,35.25833333,2021-08-27,Tablet,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,274,63.06305556,2021-08-28,Smartphone,Direct traffic,IH000403377
Tokyo 2020: Paralympics Live,272,56.73638889,2021-08-25,Smart TV,Direct traffic,IH000403360
Tokyo 2020: Today At The Paralympics,263,87.0775,2021-08-26,Smartphone,Direct traffic,IH000403375
Tokyo 2020: Cycling - Road,255,71.15388889,2021-09-03,Desktop,Search engines,PI000017122
Tokyo 2020: Today At The Paralympics,254,37.18583333,2021-09-01,Smartphone,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,250,44.88361111,2021-08-25,Smart TV,Direct traffic,IH000403374
Tokyo 2020: Equestrian,229,18.57666667,2021-08-26,Smartphone,Direct traffic,PI000017072
Tokyo 2020: Cycling - Road,228,62.28083333,2021-08-30,Desktop,Search engines,PI000017098
Tokyo 2020: Paralympics Live,227,45.12083333,2021-08-25,Tablet,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,225,34.12583333,2021-08-28,Tablet,Direct traffic,IH000403363
Tokyo 2020: Today At The Paralympics,223,56.25194444,2021-08-29,Tablet,Direct traffic,IH000403378
Tokyo 2020: Cycling - Road,221,57.8325,2021-09-03,Desktop,Direct traffic,PI000017122
Tokyo 2020: Today At The Paralympics,220,67.13027778,2021-08-25,Smartphone,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,220,46.64666667,2021-08-24,Smart TV,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,220,50.43805556,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Cycling - Road,218,23.69444444,2021-09-01,Smartphone,Direct traffic,PI000017110
Tokyo 2020: Today At The Paralympics,215,46.33333333,2021-09-04,Tablet,Direct traffic,IH000403384
Tokyo 2020: Athletics,214,12.16972222,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Triathlon,212,32.98722222,2021-08-27,Smartphone,Direct traffic,PI000017080
Tokyo 2020: Today At The Paralympics,211,58.69194444,2021-09-03,Smartphone,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,209,64.02222222,2021-08-26,Smart TV,Direct traffic,IH000403375
Tokyo 2020: Today At The Paralympics,207,56.13361111,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,204,49.32388889,2021-08-28,Smartphone,Direct traffic,IH000403377
Tokyo 2020: Paralympics Live,204,33.03583333,2021-09-03,Desktop,Search engines,IH000403369
Tokyo 2020,202,36.42805556,2021-08-31,Smartphone,Direct traffic,PI000017158
Tokyo 2020: Paralympics Live,197,43.67777778,2021-09-04,Smart TV,Direct traffic,IH000403370
Tokyo 2020: Paralympics Live,196,110.1502778,2021-08-28,Desktop,Search engines,IH000403363
Tokyo 2020: Paralympics Live,193,38.06916667,2021-08-30,Tablet,Direct traffic,IH000403365
Tokyo 2020: Athletics,187,39.73972222,2021-08-27,Desktop,Search engines,PI000017074
Tokyo 2020: Athletics,186,52.26138889,2021-08-29,Smartphone,Direct traffic,PI000017088
Tokyo 2020: Swimming,183,77.02555556,2021-09-01,Desktop,Direct traffic,PI000017114
Tokyo 2020: Paralympics Live,178,72.89194444,2021-09-04,Desktop,Direct traffic,IH000403370
Tokyo 2020: Goalball,178,6.588611111,2021-08-24,Smartphone,Direct traffic,PI000017061
Tokyo 2020: Cycling - Road,178,33.99527778,2021-09-02,Desktop,Direct traffic,PI000017116
Tokyo 2020: Swimming,176,54.99694444,2021-08-26,Smartphone,Direct traffic,PI000017078
Tokyo 2020: Cycling - Road,169,24.81722222,2021-09-01,Desktop,Direct traffic,PI000017110
Tokyo 2020: Triathlon,164,36.68972222,2021-08-27,Desktop,Direct traffic,PI000017080
Tokyo 2020: Paralympics Live,163,36.46805556,2021-09-02,Desktop,Search engines,IH000403368
Tokyo 2020: Cycling,162,31.09833333,2021-08-28,Smartphone,Direct traffic,PI000017083
Tokyo 2020: Athletics,154,42.75722222,2021-08-30,Desktop,Direct traffic,PI000017157
Tokyo 2020: Today At The Paralympics,152,19.79694444,2021-08-31,Smartphone,Direct traffic,IH000403380
Tokyo 2020: Athletics,152,16.12805556,2021-08-28,Smartphone,Direct traffic,PI000017155
Tokyo 2020: Today At The Paralympics,145,58.74083333,2021-08-26,Desktop,Direct traffic,IH000403375
Tokyo 2020: Paralympics Live,144,52.12083333,2021-09-05,Desktop,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,141,26.42138889,2021-08-31,Smartphone,Direct traffic,IH000403380
